Bus_Name,Comment,POS,NEG
Trí Nhân,A good alternative bus line if you are booking late after all the FUTA tickets have gone. Helpful staff who made sure we understood everything thanks to Google translate.,0.9977,0.0023
Trí Nhân,"I have a trip to Bac Lieu province. I experienced VIP car of Tri Nhan limousine. Very wide bed, smooth. I have a wonderful trip.",0.9998,0.0002
Tân Niên,We booked our seats and paid in advance. Our seats were filled with staff from the last ride that people left. It felt unclean.,0.0003,0.9997
Tân Niên,Very Nice ride. Bus picked us up early and dropped 3hrs earlier in Da Lat and transfer by them to Hostel was quick. Staffs are very kind and speak english. Overall Nice experience and Highly recommend.,0.9998,0.0002
Tân Niên,"Was late for 1,5 hour",0.0525,0.9475
Tân Niên,"The seats are definitely too small for 2 people. Luckily we bought 2 couple rooms so we each had our own room and this way it was a very pleasant trip, I slept the whole way. The blankets could be better and there could be sheets on the beds, but otherwise it was clean and comfortable.",0.9977,0.0023
Tân Niên,Great company. The staff was very caring and kind. The bus was moving smoothly and neatly. I am delighted with this trip.,0.9999,1e-04
Tân Niên,The location of departing was quite unclear. We were at the pick up location very early just to be sure we would make it. And then minutes before departing it was clear that it was not the pickup location... so we had to ran with all our baggage for a couple 100 meters. A bit intense...,0.0078,0.9922
Tân Niên,We booked the bus (without prepayment) with pick up at our hotel. The Pickup did not show up and we did not get to take the bus. We do not speak vietnamese but our reception from the hotel tried to contact the bus. They then told him that we should take a Taxi because they could not pick us up. When we were in the Taxi they told us the bus already left. Also the number that vexere provided as phone number from the driver did not exist.,0.0004,0.9996
Tân Niên,"The conductor was sick but still came to work. He's always coughing at the door without covering his mouth, spreading virus in the bus. He's so rude when i told him i need to go to the toilet. He lacks manners and basic respect",0.0019,0.9981
Tân Niên,"The bus was even a bit early and we managed with the help of a Vietnamese friend to arrange the pick up in the city (no office in bao loc). The company doesn’t speak English and without help would have been complicated. Driving and arrived at 5 am earlier than planned but driver was driving really really fast and could be a bit more smooth. At the end still arrived and it did the job. Bus is clean and confortable with water , wet napkins and usb charger",0.6881,0.3119
Tân Niên,"Hello, Our trip has been wonderful. Large comfortable beds for a long trip. From the port city of Hatien to our destination city of Dalat, we arrived in 14 hours with no connections. it is very convenient. Very comfortable temperature inside. Thank you for the trip.",0.9996,0.0004
Tân Niên,"The pickup point in tickets and real place where bus stop 1000 meter different. So bus driver call for tell where he stop, driver doesn't speak English. So it was big trouble for finding bus. Why bus doesn't stop at right place nobody explain.",0.0019,0.9981
Tân Niên,Prompt communication but in vietnames only. The cabin was almost as advertized. Fore an average western person two person cabin is barable If only one person traveling in it. TV did not work but the US be charging port did.,0.0016,0.9984
Tân Niên,"The single beds are very comfortable for one person, but they are also sold as double beds. In my opinion, it is not comfortable at all for two people. The company should show pictures of the bed so that you know what you are in for. They tried to take money for the transfer to our hostel as well, even though it was included in the price!",0.0011,0.9989
Tân Niên,"Hey, I think Tan Nien bus were good and a fantastic bus service system. They assisted my friends and I get on at the right destination even though they didn't speak English. We made it to Dalat in good time and reasonably comfortable despite being really tall and the seats being a tiny bit too small. All in all, it was a really great and wonderful way to travel.",0.9998,0.0002
Hùng Cường - An Giang,"The journey ran very well. The driver and the steward were very accommodating, helping us get to our correct destination. A minivan at the end dropped us to our hotel door. Great 👍🏻",0.9994,0.0006
Hùng Cường - An Giang,The servece is well below expextations in terms of confort and quietness on board.,0.003,0.997
Dũng Lệ,"It was so badly organized that we were 3 hours late from the scheduled time of arrival. Too expensive for bad service. Pick up information was not clear, nobody contacted us to confirm. We were asked 5 times to show our tickets and tell where we are going and when we left one space free to sit together for a while, they tried to resell our spot that we overpaid.",0.0002,0.9998
Dũng Lệ,"Horrible experience! Please avoid this company! Bad organization, late for pickup and extremely late for drop-off (the ride took 3 hours more than scheduled). The bus stopped multiple times to pick up cargo like eggs and big bags of stuff, which seemed unprofessional (probably the staff has ""small side business"". Also, the driver was smoking during the trip!!! This is a sleeping bus. How can you sleep when it smells like cigarettes and it plays old disco music?? It was very unprofessional and disappointing, and i regret i booked it.",0.0003,0.9997
Toàn Khải,thank you so much to my driver!,0.9999,1e-04
Toàn Khải,"Safe, comfortable, good service, never late",0.9999,1e-04
Toàn Khải,Starting in advance caused us to miss this bus,0.0002,0.9998
Toàn Khải,"If the bus stop location is clearly noticed, it would be better. The bus was delayed about 30mins. However the direct phone number service was good. The driving was safe. Thumbs up!",0.9911,0.0089
Toàn Khải,I was impressed that they took me to my destination in a more comfortable car for over 3 hours even though I was the only passenger. I will recommend this company to people around me.,0.9997,0.0003
Toàn Khải,Everything is fine except for the music. The driver's music so noisy. I couldn't sleep at all. The music is just for driver not for me. I hope that this problem will be improved in the future. Every thing else was okay!,0.9743,0.0257
Toàn Khải,"Comfortable, clean, great communication with driver. Would definitely choose again, punctual and helpful.",0.9997,0.0003
Toàn Khải,"Evrything was fine, I liked the ride. The bus was waiting on the bus parking at bus station Can tho. I was surprised that there were only 2 passagers for such big bus. There was one 30 min stop at road restorant/shop.",0.9589,0.0411
Toàn Khải,The bus didn’t leave as indicated from the bus terminal at the airport. Missed it therefore.,0.0004,0.9996
Toàn Khải,"Very comfy and private,only 3 pax was in the car. However,the car was late for 20 minutes, so we arrived almost one hour late to the airport.",0.5503,0.4497
Toàn Khải,"Probably one of the most comfortable bus rides I had in Vietnam. Punctual, spacious, comfortable, friendly. Highly recommended.",0.9998,0.0002
Toàn Khải,"It's the worst experience of any other country's service I've ever visited 1. The bus arrived 12:30 p.m (I booked the bus 12:00pm) 2. Of course, nobody say sorry 3. The instructions suggest that come 15 to 30 minutes earlier for a pickup 4. Because of the guidance, I went 30 minutes early and waited on the road for an hour 5. I can't get to the airport because my flight time is tight, and I'm getting off at Ho Chi Minh City.(also worst worst worsr driver) 6. I got a taxi from Ho Chi Minh City to get to the airport quickly and pay extra (I didn't need to pay for this if you came and operated on time) I don't want to use ur company anymore. 발음표기 확대보기 재번역",0.0003,0.9997
Toàn Khải,"The driver was great , clean car and good attitude",0.9999,1e-04
Toàn Khải,"Everything was perfect, except for the timings, was delayed for pickup and even more for drop off. But in general was a great trip",0.9995,0.0005
Toàn Khải,Perfect driver!,0.9999,1e-04
Toàn Khải,"The bus was clean and comfortable except for the line of LED lights around the side of the interior. They are switched on all the time and very bright, so it is difficult to sleep. The pick-up was late by almost an hour. Although the pick-up address is given as 10 Mai Chi Tho, it was actually at Nguyen Co Thach which in on the other side of shopping mall.",0.1727,0.8273
Toàn Khải,Friendly driver and excellent car condition.,0.9999,1e-04
Toàn Khải,The driver is a good man.,0.9999,1e-04
Toàn Khải,Driver is 20 minute late.,0.0686,0.9314
Toàn Khải,Van was 2 hours late getting to hcmc.,0.0844,0.9156
Toàn Khải,"Awesome service, great flexibility, just ask",0.9998,0.0002
Toàn Khải,Great service,0.9998,0.0002
Toàn Khải,"We booked for two VIP seats (300,000 each) as they are larger. When we got on the bus they had changed buses and moved our seats to the back which are the 250,000 seats. These are also much smaller and quite tight. I am pregnant which is why we wanted the bigger seats. Otherwise we would have booked a different time. After sending a complaint they moved me to the front vacant seat however that was only 1.5 hour into the trip. And my husband had to remain at the back. I have been trying to get a refund for the 100,000 as we didn't get the seats we paid for. However there has been no support or response. Finally, the trip was meant to be 4 hours total. It was 6 hours in the end. This was not because of traffic. The bus driver got lost and did different routes which even some of the Vietnamese staff started to ask him questions about what he was doing. He also wasn't very friendly when I tried to explain my situation at the beginning and didn't seem friendly when other members of the bus also were asking about the route. I won't be using this bus company again.",0.0012,0.9988
Toàn Khải,The driver is really nice! I'll book it next time.,0.9998,0.0002
Toàn Khải,Arrives at your destination 90 minutes later than scheduled. Arrives 1 hour later than your departure time,0.7432,0.2568
Toàn Khải,"Excellent service, allowed changes and responded to texts straight away. I am very happy and will use this company again. So helpful.",0.9997,0.0003
Toàn Khải,"Very good trip, staff were helpful and allowed itinerary changes without hassle, very happy",0.9949,0.0051
Mạnh Hùng,The bus started to go 1h30 after departure time,0.0261,0.9739
Mạnh Hùng,Worst company ever. I paid two million for a double sleeper which it was not. Staff were verbally aggressive. AVOID.,0.0002,0.9998
Giáp Diệp,"Hello, the ticket indicates that we arrive in Soc Trang at 12:40, but we will arrive at 14:00. Please make a modification to correct the error for future passengers. May I also suggest that you indicate the stops and duration in the ticket information ? Wishing you good health.",0.0114,0.9886
Giáp Diệp,Bus driver very friendly and well,0.9998,0.0002
Giáp Diệp,"Giáp Diệp Limoisine Service is quite good, like, you are going on your own car on your way back to your grandmom town. In time, professional and open-armed as they are",0.9998,0.0002
Giáp Diệp,"I was quite happy with this trip, enthusiastic staff and good service quality. Already booked a bus back and satisfied with the trip schedule.",0.9999,1e-04
Ba Châu,"the bus was 45 minutes late without any communication with the driver and the company. Veksere sent me information about the delay only half an hour before departure, when I was already approaching the station. so I had to sit for 1.5 hours at a stinking station next to sewage. there is no information about the company at the station. the bus itself is old and stinking, the staff is rude. they did not even apologize for the delay. however, on the way we managed to reduce the delay to 20 minutes.",0.0004,0.9996
Ba Châu,No information about delay. The seat numbers were wrong. Very friendly staff,0.0014,0.9986
Ba Châu,The worst of worst!!! No punctual at all. Seat is dirty. No correct information. No support of staffs. Do not use this busline,0.0002,0.9998
Tư Tiến,"I feel great, the staff is friendly, the driver is a good driver",0.9999,1e-04
Vũ Linh limousine,"We had a very comfortable journey on the Vu Linh bus. It left on time, arrived early, was great value for money & we were then collected from our drop off location by taxi & taken directly to our hotel, for free! We would highly recommend.",0.9953,0.0047
Vũ Linh limousine,"Great service, efficient staff and the shuttle service at Can Tho is very useful. Thanks!",0.9998,0.0002
Vũ Linh limousine,Decent. Good bus. Good staff. Friendly driver. Plenty of leg room. Can Tho ↔️ Ho Chi Minh,0.9996,0.0004
Vũ Linh limousine,The bus was nice but the the transport from the bus to local stop was a disappointment,0.0004,0.9996
Vũ Linh limousine,Comformtable ride from HCMC to Can tho.,0.9869,0.0131
Vũ Linh limousine,"Everything was great and comfortable, thank you!",0.9999,1e-04
Vũ Linh limousine,Driver a bit too fast,0.0006,0.9994
Vũ Linh limousine,Good trip,0.9999,1e-04
Vũ Linh limousine,Very Nice driver !,0.9999,1e-04
Vũ Linh limousine,The bus was in a bad condition and wasn't able to get started a couple of times. The driver was extremely aggressive while driving. He wanted to have additional 100.000 VND for the last stopp (which we had paid in advance). We felt cheated on.,0.0006,0.9994
Vũ Linh limousine,"Did Ho-Chi-Minh City to Can Tho. Good experience, a little late due to traffic.",0.7907,0.2093
Vũ Linh limousine,It was a very good minivan service from Can tho to rach gia to catch the ferry to phu quoc. The minivan transfers picked me up near my hotel and dropped me right at the ferry. Very good service and comfort. Thank you,0.9998,0.0002
Vũ Linh limousine,Bus pickup was great and friendly and on time and well organised. Some of the curtains in the van were broken and could be repaired easily and the van has differential whine exactly at the speed the van drives for the whole trip. I recommend the rear differential needs its gear oil changed for thicker oil or bearings replaced to remove the noise that’s very annoying for the whole trip. Otherwise a good trip,0.2588,0.7412
Vũ Linh limousine,Broken airco and so much on the horn in traffic not very relax,0.0003,0.9997
Vũ Linh limousine,Strongly recommend buying the VIP seats otherwise you are sitting next to the drive and it's not very comfortable.,0.0005,0.9995
Vũ Linh limousine,Great service. It was a return trip and both times the journey time was faster than estimated. Office/departure point is at a convenient location in HCMC and there's a shuttle to/from door at Can Tho end Highly recommended.,0.9991,0.0009
Vũ Linh limousine,"I booked a 7 am trip but it has been cancelled and was given the option of 6 or 8 am I choose 8 am. The trip was fine , charging point, internet , confortable seats, toilet stop. As soon as we reached the outskirt of Can Tho we moved to a shuttle that dropped us in the various end point/hotels",0.0156,0.9844
Vũ Linh limousine,I’m always happy with your compagny,0.9999,1e-04
Vũ Linh limousine,"All good, departure and arrival at agreed time; driving in typical Vietnamese style…",0.9998,0.0002
Vũ Linh limousine,Punctual and with good transfer options. Comfortable seats and friendly drivers.,0.9998,0.0002
Vũ Linh limousine,Safe driving but miscommunication about drop-off zone. Make sure to check if the shuttle service can drop you off at the desired location.,0.0182,0.9818
Vũ Linh limousine,Worked well; seat designed not for tall people,0.9751,0.0249
Vũ Linh limousine,Very careful and polite driver. 5 Stars for the driver to make my 1st holiday trip to Can Tho so memorable. Thank you.,0.9998,0.0002
Vũ Linh limousine,"The driver was suuuuper kind which made the trip easy, quick and fun. He arrived on time.",0.9994,0.0006
Vũ Linh limousine,OK !,0.9998,0.0002
Vũ Linh limousine,"The driver drives too recklessly. While going to can tho, I was anxious due to the driver's reckless driving",0.0007,0.9993
Vũ Linh limousine,Fast & Furious 😂,0.7685,0.2315
Vũ Linh limousine,The driver was very dangerous and used the horn a lot/ very noisy not comfortable trip at all,0.0006,0.9994
Vũ Linh limousine,"Good company, drives on time and very nice and professional. We used the shuttle service from the limousine station that dropped us off at our hotel in the city center.",0.9998,0.0002
Vũ Linh limousine,This trip the driver is impatient and drive recklessly and very fast speed. I was totally scared throughout the journey as I was sitting in front.,0.9701,0.0299
Vũ Linh limousine,"The driver was so good. Drive very safely and obey all traffic rules. For me, he has been the best of the best drivers till now. Thanks to him.",0.9999,1e-04
Vũ Linh limousine,"First, pick-up from the Rach Gia bus station resulted in a broken roller on our luggage because the driver just threw it on the ground. Vu Libh did not want to resolve this problem. The second, the ride from the Rach Gia office to Can Tho was almost a death ride. During very heavy rain, the driver drove at an extremely high speed. We spent half of the time on the opposite side of the road. Additionally, the buses are old and have an unpleasant smell inside. I do not recommend this service.",0.0006,0.9994
Vũ Linh limousine,"Love travelling with you guys, you're my number one choice",0.9999,1e-04
Vũ Linh limousine,We arrived to the collection point one hour earlier and got our vehicle immediately! Great service,0.9996,0.0004
Vũ Linh limousine,"Xe chay dung gio , an toan, sach se.",0.013,0.987
Vũ Linh limousine,Awesome shuttle service!,0.9999,1e-04
Vũ Linh limousine,"All the staff today were great: the assistant helping to load the luggage on the van, the main driver, and the 2nd driver for the connecting car to the final destination. Very friendly and professional, and safe yet efficient and comfortable driving skills. Thank you very much",0.9999,1e-04
Vũ Linh limousine,"This was our first time on Vu Linh and we loved it. Comfortable and extra care to make sure we understood. (We speak only english). As a tourist I like to look out the window and on the limo bus(9 seat) the windows are bubbled and shades down, so I will be going for a front next time. Great experience",0.9992,0.0008
Vũ Linh limousine,Really happy with the service. Will definitely use it again.,0.9999,1e-04
Vũ Linh limousine,Leave on time and arrived on time. Just worries me a little every time he pass other car😂,0.1618,0.8382
Vũ Linh limousine,"We were very happy with the service you gave us and any time l can use it l will, only one thing l would like, more English language use 😉. Thanks very much",0.9994,0.0006
Vũ Linh limousine,Good and reliable bus,0.9999,1e-04
Vũ Linh limousine,"Staff at ticket office can speak English, the driver can not, but they still get me to the correct location 👍",0.9909,0.0091
Vũ Linh limousine,"We got in the night a update. We had to start at 8:00 AM. In the update was a wrong pickup location. So we had to take an other taxi. And arrived to late for the bus 8:00. We could take the next one at 9:45am. In the pickup office they confirmed that the wrong pickuplocation was in the update. The man said that he knew it and so de company. 😫. So too late, stress and extra costs. This was not necessary.",0.0003,0.9997
Vũ Linh limousine,Great trip,0.9999,1e-04
Vũ Linh limousine,"Very nice people, drove us safely and quickly to can tho. However we wanted a shuttle to the ninh kieu boat station to visit the floating market. Instead they brought us to a sketchy different spot where there were only one company providing boats to the market for double the usual price. That was not fair and I think a rip-off.",0.0012,0.9988
Vũ Linh limousine,"Bus was clean and seats were comfortable. We departed an hour before the originally scheduled departure time and we were notified of the change well in advance. The reason for only 3 stars is that the driver dropped off us and all other remaining passengers 17 minutes away from our scheduled destination which was supposed to be Saigon's Mien Tay Bus Terminal...where we had to catch a connecting bus. So, with our pile of luggage for our 5 weeks of travel sitting on a sidewalk on a dark sidestreet, we had to order a GRAB Car to get to the bus station. Some of Vu Linh's drivers have been awesome but the driver we had for this trip was just a miserable person who shouldent work with the public and probably has no clue of what good customer service looks like and why it's critical to the long term success of any business.",0.0008,0.9992
Vũ Linh limousine,The van was comfortable spacious and had massage features unlike the previous ones. The shuttle bus wasn’t of good service dropped me far from my destination.,0.0018,0.9982
Vũ Linh limousine,Change pick up time by themselves without notice. Terrible,0.0024,0.9976
Vũ Linh limousine,Shuttle driver left me a ten minute walk from my hostel as he could not locate it. He would not look at the map. The main bus was fine and got there quickly,0.3327,0.6673
Vũ Linh limousine,"Comfortable seating and roomy for legs with USB outlets and water bottle with wet towel, just a lot of mosquitoes but they weirdly don’t bite.",0.6935,0.3065
Vũ Linh limousine,This time the driver drove too fast it was a little bit scary for all of us.,0.0032,0.9968
Vũ Linh limousine,Fantastic bus service. Very organised and I like that they called me when I was on the way to the bus station. Very good English spoken and it was a comfortable journey,0.9998,0.0002
Vũ Linh limousine,"Great service to go to can tho. On time, safe, supportive",0.9997,0.0003
Vũ Linh limousine,"OK, departure and arrival on time. But inefficient. Driver goes at 50/60 km/hour on the expressway whereas the limit is 80 km/hour (empty road). 1 Hous journey could easily be saved. And this loud music all the time....Can(t it be silent ?",0.0085,0.9915
Vũ Linh limousine,In the description it says 9 seater . But all the limo busses are 11 seater. They have added 2 extra seats which leaves with no leg space. I don’t mind using an 11 seater :) but then it should be cheaper. I was too afraid to make any pictures or videos as I’m a foreigner. Someone from Vexere should go and check.,0.0048,0.9952
Vũ Linh limousine,Online booking showing 9 seater Limousin. Actually its a 12 seater...,0.6587,0.3413
Vũ Linh limousine,"The location is very confusing. Google maps or Apple couldn’t find it, calling the office did not help ( my Vietnamese friend did it for me). All in all it turned out it was in main bus station! Ride was ok, although the bus tiny and stopped in a weird place.",0.0149,0.9851
Vũ Linh limousine,"Nice travel! But it was hard to find the location of Can tho office, I think it would be much better to register google map or grap map.",0.001,0.999
Vũ Linh limousine,"Good and quick transfer. Seat distance big enough for a 1,90m Person.",0.9995,0.0005
Vũ Linh limousine,"The limousine bus was very comfortable. Large seats with ample legroom. Good on-board Wi-Fi. The driver was confident in the hectic traffic, particularly in Ho Chi Minh.",0.9997,0.0003
Vũ Linh limousine,"Very good value for money, chairs comfortable and perfect timing",0.9999,1e-04
Vũ Linh limousine,Why I didn’t give this bus company a 5 star rating? The reason is due to passengers loud talking and watching their shows on their devices without the headphones. Not very considerate to other passengers!! They should post a sign with some rules and regulations.,0.0017,0.9983
Vũ Linh limousine,-they found another bus earlier because i was in advanve in the same seat number -too bad because drivers dont speak english -veryconfortable seat -on time in site of the traffic,0.0003,0.9997
Vũ Linh limousine,Enjoyed the service. Driver didn't overuse the horn which made it more relaxing. Comfortable,0.9997,0.0003
Vũ Linh limousine,They changed pick up location again. This happened in succession for the second time,0.8219,0.1781
Vũ Linh limousine,"Vu Linh ride comfortable , polite staff ... Liked least in Saigon switchboard, talking very cute, customer respect ... I hope everyone's support",0.9993,0.0007
Vũ Linh limousine,"Vu Linh bus is fast speed, but slightly slower departing shuttle and enthusiasm to take place. Will support the Saigon-Can Tho trip in the near future.",0.9913,0.0087
Duy Thảo (Kiên Giang),The driver claimed to arrive 20 minutes earlier which he announced by callig me 30 minutes in advance. On top of that not on the selected pickup station. Then we waited there for 40 minutes so that the bus came later than listed on the original ticket. When entering the bus our seats where occupied and on top of that one of the guy providing the service tried to sell us a transport/car to the drop-off point which we were supposed to be dropped-off anyway. Never ever again this bus/company!!!,0.0014,0.9986
Văn Lang,"It was sticky, not clean, but even earlier",0.0029,0.9971
Văn Lang,"Very good experience and new for us ! Very relaxing, we'll really enjoy travelling with that kind of buses where you can lay on the sits !",0.9998,0.0002
Hảo,Wifi does not work. Curtain is not hung properly. Engine is too loud in front seats,0.0002,0.9998
Hảo,Low quality of facilities. The metal edge in phone charging spot risks passenger.,0.0005,0.9995
Hảo,Bus didn't pick me up. We will never use your service anymore and we will require for money refund,0.0016,0.9984
Hảo,The only issue was the bus said it would leave at 8:30pm but Actually there is a transfer bus from the address on the ticket to the mien tay bus station at 8pm … ticket can be clearer,0.0062,0.9938
Hảo,"Bus didn’t arrive at pick up point. Instead 40 mins later after many calls and hang ups when I could speak Vietnamese a motorbike arrived at my pick up location and drove me to the bus company office about 20 minutes away. Got a mini bus from there to the sleeper bus about 30 minutes later. Other than delays and confusion, I wasn’t in any big hurry and I’m used to not so smooth travels, all part of the adventure and pointless getting stressed over it as it changes nothing. Almost there as I type this 🫰🏻😊",0.004,0.996
Hảo,"To whom it may concern, I am writing to express my dissatisfaction with the unprofessional conduct of your employees and the poor service provided during my recent journey. Shortly before reaching Can Tho, I, along with other passengers, was abruptly and loudly reprimanded in Vietnamese and subsequently forced to disembark from the bus after crossing a bridge. This unexpected and disconcerting situation caused inconvenience and confusion, as our taxi, which was already waiting at the Can Tho bus station, had to search for our whereabouts. I am deeply disappointed with the level of service provided by your company and will refrain from utilizing your services in the future. Thank you for your attention to this matter. Sincerely, Marco",0.0034,0.9966
Hảo,"I would give a higher rating but we were eight minutes from the drop off location and had to wait for people to have dinner so we arrived about an hour later than expected which meant it was quite dark out. Also, as a woman traveling with a child it was a bit shocking to be dropped off on the side of the highway at night.",0.0031,0.9969
Liên Hưng,"This is a terrible carrier, we were sitting waiting for the bus at the station, then they took us by taxi to the highway and extorted extra money! The buses are dirty, everything is not fresh, bad smells! I will not travel with them again and I do not advise you to",0.0023,0.9977
Liên Hưng,"The bus was good and clean, and looked exactly like on photos from website. I found bus quite easily because of live location, but the driver also called me before to tell about platform number. There was only one toilet stop, so it was quite difficult to wait and the driver wasn't cooperative. We arrived to Nha Trang two hours earlier, which is a good thing, but the manager never warned us that it's our stop. So in general bus fulfilled all it's duties, but I really wish they could be more cooperative about toilet stops and more attentive about your destination stop if you arrive early. Anyway thank you for everything",0.0172,0.9828
Liên Hưng,Totally awesome,0.9999,1e-04
Liên Hưng,"Crazy trip from center of Nha Trang to Da Nang. First, there was a minivan transfer from bus station to sleep bus and there is not enough seats for passengers, so I had to use plastic stool, which I’ve got after bad long conversation with service women. We with my wife bought a ticket next place to the driver and it was a HUGE mistake. The driver and his friend (colleague?) chatting loudly all the way. When they stop chatting - they start to beeping to others multiple times. My wife ask the driver to keep quit, but they only laughing and continue. I felt that I’m an astronaut, who train to take a mission, especially on the turns. They loaded cargo multiple times. It’s not a VIP Limousine Sleep Bus, it’s a Rollercoaster Terror I-Bet-You-Can’t-Sleep Bus. The bus was clean and seats (beds?) was a comfy, but u can’t sleep even.",0.0018,0.9982
Liên Hưng,"The second driver was awful, loud, smoking and rude",0.0004,0.9996
Liên Hưng,Awful - driver was speeding the entire time and going over potholes incredibly fast - people were scared to go to toilet because they’d get thrown around. We arrived 2h30 before we were supposed to due to the speeding.,0.0009,0.9991
Liên Hưng,"It’s been an ok trip. The seats were comfortable, so I could sleep a bit, but the driver was riding dangerously when we were near Nhà Trắng. There was only one bus stop during the trip, and the drop-off stop was as on the ticket.",0.0109,0.9891
Liên Hưng,"Rude staff, poor service",0.0003,0.9997
Liên Hưng,"It was a nice trip from Da Nang to Nha Trang. No any issues. The bus is clean, the driver is polite.",0.9984,0.0016
Liên Hưng,"Instead of Nha Trang they took me further than Cam Ranh, and when I said this they took me barefoot across the highway five minutes later and put me on another bus. As a result, instead of 6:30 am I will arrive only at 9 am.",0.0063,0.9937
Liên Hưng,"The bus arrived on time, apart from that everything needs to be changed: better reception, and trying to fit my twenty kilo backpack on my seat. The driver smokes inside the bus cabin.The window blind was stuck so it was not possible to see outside. Also you already know most of this from previous feedback. So I suggest to improve",0.0014,0.9986
Liên Hưng,It was a disgusting journey. They scratched my bike while loading. They asked for a lot of money for his transportation. We constantly stopped at different places to load and unload goods. They dropped me off 15 km from my destination. I don't want anyone to travel with these disgusting people.,0.0008,0.9992
Liên Hưng,Bus was old and not clean,0.0003,0.9997
Liên Hưng,"Awful experience. After being transported in the baggage compartment, our luggage began to smell like urine. Apparently the compartment was dirty or the bio-toilet was leaking. The ride itself was also terrible. The driver apparently doesn't know that the purpose of a sleeper bus is to deliver well-rested people to the appointed time. He drove like crazy and honked the horn constantly. It was impossible to sleep, and we arrived an hour early - at 7:30 in the morning. Why? There were no sanitary stops at all, the toilet in the cabin was bad, and the shaking made it very difficult to use. Will not recommend no one. This is not VIP at all.",0.0007,0.9993
Liên Hưng,Wrong drop-off,0.0003,0.9997
Liên Hưng,Fun ride but to many stop,0.8864,0.1136
Liên Hưng,"It was very cold on the bus, the sweater and blanket didn't help to warm up. The drivers were not friendly, they shouted loudly, they drove aggressively at night and honked constantly",0.0028,0.9972
